table,experiment_id,status,architecture,dataset,time_steps,target,method_family,methods,calibration_budget,evaluation_budget,primary_metric,matched_controls,success_gate,runner,claim_unlocked
main,qkf_c100_t1_current,planned,QKFormer,CIFAR-100,1,stage1.0.tssa,current replacement,"static;moment;temporal_gate;channel_gate;TCSLU",128 train batches,full validation,Acc@1 drop + local MSE + logit KL,"shuffled_address;token_channel_mean;global_mean",TCSLU drop <= moment drop and aligned beats shuffled/token controls,tools/qkformer_lut_current_unit_probe.py,QKFormer CIFAR-100 current fidelity
main,qkf_c100_t4_current,planned,QKFormer,CIFAR-100,4,stage1.0.tssa,current replacement,"static;moment;temporal_gate;channel_gate;TCSLU",128 train batches,full validation,Acc@1 drop + spike-rate drift,"shuffled_address;token_channel_mean;global_mean",TCSLU reduces drop vs static and moment LUT,tools/qkformer_lut_current_unit_probe.py,T-step dynamic-contract evidence
main,spik_c10_t4_tcslu,planned,Spikformer-4-384w,CIFAR-10,4,SSA current,current replacement,"static;moment;temporal_gate;channel_gate;TCSLU",128 train batches,full validation,Acc@1 drop + BN/LIF shift,"shuffled_address;token_channel_mean;global_mean",TCSLU materially improves over retained 76.28% injected mismatch-probe row,tools/run_spikformer_current_injection_diagnostic.py,temporal-channel mismatch recovery
ablation,tcslu_component_qkf_c100,runner_ready,QKFormer,CIFAR-100,1,stage1.0.tssa,component ablation,"static;+moment;+temporal;+channel;+low_rank;+backoff;full",128 train batches,full validation,component delta,"static aligned baseline",each component has reported delta and no unregistered tuning,scripts/server/run_qk_lutformer_cifar100_tbd_matrix.sh component,TCSLU necessity
ablation,semantic_address_controls,runner_ready,QKFormer,CIFAR-100,1,stage1.0.tssa,address ablation,"aligned;shuffled;token_channel;global;same_size_random",128 train batches,full validation,aligned-vs-control gap,"same capacity controls",aligned beats shuffled/token on local fidelity and does not lose to them in Acc drop,scripts/server/run_qk_lutformer_cifar100_tbd_matrix.sh semantic_controls,semantic address necessity
robustness,calib_subset_robustness,runner_ready,QKFormer,CIFAR-100,1,stage1.0.tssa,robustness,"three fixed calibration subsets",128 train batches each,full validation,worst-case drop,"same method across subsets",TCSLU worst case remains within registered gate,scripts/server/run_qk_lutformer_cifar100_tbd_matrix.sh calibration_subsets,calibration robustness
robustness,support_threshold_robustness,runner_ready,QKFormer,CIFAR-100,1,stage1.0.tssa,robustness,"min_support 1;2;4",fixed train batches,full validation,drop/hit/fallback tradeoff,"same methods for every threshold",report all thresholds without test selection,scripts/server/run_qk_lutformer_cifar100_tbd_matrix.sh support_thresholds,support sensitivity
robustness,mild_corruption,runner_ready,QKFormer,CIFAR-100,1,stage1.0.tssa,robustness,"noise;brightness severity 1/2",128 train batches,corrupted validation,hit-rate drift + spike-rate drift,"clean validation baseline",TCSLU degrades more gracefully than static LUT,scripts/server/run_qk_lutformer_cifar100_tbd_matrix.sh mild_corruption,input robustness
generalization,cifar10_dvs_route1,completed_below_gate,QKFormer Route 1,CIFAR10-DVS,16,stage1.0.tssa,LUT-only deployment,"global residual LUT;per-time/channel normalization",30 epochs backbone continuation + 12 epochs LUT adaptation,full 1000-sample validation,LUT-only Acc@1 + paired delta,"paired clean teacher",LUT-only Acc@1 >=84.0,tools/qkformer_cifar10dvs_route1_backbone.py,bounded event-data deployment evidence
generalization,cifar10_dvs_route3,completed_boundary,SpiLiFormer-2-256,CIFAR10-DVS,16,first FF-LiDiff,LUT-only cross-architecture deployment,"global residual LUT;support-aware backoff;per-time/channel normalization",130 effective clean epochs + fixed 12-epoch LUT transfer,full 1000-sample validation,LUT-only Acc@1 + paired delta,"paired from-scratch clean teacher",LUT-only Acc@1 >=84.0,tools/spiliformer_cifar10dvs_route3_lut.py,bounded cross-architecture implementation evidence
